"","usageKey","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","eventDate","recordedBy","image","institutionID","collection_id","sex","preservation","bodypart","localisation","order","family","genus","canonicalName","authorship"
"79","m1","FR","Corsica ","Haute Corse Moriani Plage ","42.37","9.53","1994-06-20/1994-06-22","",NA,"MZUR",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"80","m1","FR","Corsica ","Haute Corse Palasca ","42.66055507","9.061550102","2021-06-18","",NA,"inaturalist",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"81","m1","FR","Corsica ","Haute Corse Palasca Foce F. Ostriconi","42.66","9.06","1982-08-01/1982-08-15","E. Colonnelli",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"82","m1","FR","Corsica ","Haute Corse Palasca plage de l'Ostriconi","42.66084","9.06072","2020-06-14","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"83","m1","FR","Corsica ","Haute Corse San Giuliano loc. Pistonaccio","42.28","9.55","2018-06-01","A. Marata",NA,"coll. Poloni",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"84","m1","FR","Corsica ","Haute Corse San-Giuliano ","42.25984","9.55573","2008-06-12","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"85","m1","FR","Corsica ","Haute Corse Santa Lucia de Moriani ","42.37","9.53","1994-06-20/1994-06-22","V. Novák",NA,"NMPC",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"86","m1","FR","Corsica ","Haute Corse Santo-Pietro-di-Tenda dune, plage de Saleccia","42.72432","9.19967","2020-06-20","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"87","m1","FR","Corsica ","Haute Corse Ventiseri ","41.92695","9.39278","2021-05-18","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"88","m1","FR","Corsica ","Haute Corse Ventiseri ","41.93402","9.4151","2021-05-21","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"89","m1","FR","Corsica ","Haute Corse, Palasca, plage de l'Ostriconi","42.661667","9.060833","2022-06-19","A. Riccieri, V. Filippini, E. Erbani",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"90","m1","FR","Corsica ","Pietrosella, Plage de Mare è Sole","41.8125","8.773056","2022-06-18","A. Riccieri, V. Filippini, E. Erbani",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
