id,family,subfamily,tribe,genus,subgenus,species,subspecies,usage_key,det,typus,num_m,num_f,num_nosex,nation,region,location,altitude,lat,long,given_lat,given_long,date,collector,biog_reg,source,record_type,notes,collection_id,stage,preservation,localisation,tax_order,author_year
30,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,France,Corsica,  ,,,,NA,NA,,,palaearctic,"Schenkling (1915), Luigioni (1929), Porta (1934)",specimen,erroneous record,,,,,Coleoptera,"Cameron, 1904"
31,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Italy,Sicilia,  ,,,,NA,NA,,,palaearctic,"Schenkling (1915), Luigioni (1929), Porta (1934), Giffi (1991), Angelini et al. (1995)",specimen,partially erroneous ; the Angelini et al. (1995) record refers to Malta,,,,,Coleoptera,"Cameron, 1904"
32,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Italy,Sicilia,"Ragusa, Santa Croce camerina Punta Braccetto ",2,,,36.82,14.46,12_06_2021,"M. A. Bologna, C. Marangoni",palaearctic,MAB,specimen,,,,,,Coleoptera,"Cameron, 1904"
33,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Italy,Sicilia,"Ragusa, Santa Croce camerina Punta Braccetto ",,,,36.82,14.46,08_1978,Pace,palaearctic,MVR,specimen,,,,,,Coleoptera,"Cameron, 1904"
34,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Coral Lagoon ,,,,35.996389,14.3675,06_2022,L. Spagoni,palaearctic,MAB,specimen,,,,,,Coleoptera,"Cameron, 1904"
35,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Gozo Island  ,,,,36.05,14.26,25_05_2018,F. Alamanni,palaearctic,RP,specimen,,,,,,Coleoptera,"Cameron, 1904"
36,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Gozo Island Gozo Dwejra,,,,36.04,14.19,29_06_1980,J. L. Schembri,palaearctic,"MAB, CSCH,  Bologna (1984, 1995), Giffi (1991)",specimen,,,,,,Coleoptera,"Cameron, 1904"
37,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Gozo Island Gozo Xlendi,,,,36.03,14.21,27_06_1980,J. L. Schembri,palaearctic,"MAB, CSCH, Bologna (1984, 1995), Giffi (1991)",specimen,on Anthmis sp.,,,,,Coleoptera,"Cameron, 1904"
38,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Gozo Island Wied ta-Xlendi ,,,,NA,NA,15_07_1989,D. Mifsud,palaearctic,"CMIF, Bologna (1995)",specimen,,,,,,Coleoptera,"Cameron, 1904"
39,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,II Kalanka,,,,35.835556,14.560833,06_2022,L. Spagoni,palaearctic,MAB,specimen,,,,,,Coleoptera,"Cameron, 1904"
40,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Imgiebah bay,,,,35.9675,14.381944,06_2022,L. Spagoni,palaearctic,MAB,specimen,,,,,,Coleoptera,"Cameron, 1904"
41,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,6942602,,,,,,Malta,Malta,Malta Island  ,,,,NA,Na,,,palaearctic,"Schenkling (1915), Luigioni (1929), Porta (1934), Magistretti (1941), Giffi (1991), Schembri (1983), Bologna (1995), Schembri (2003), Kubisz  & Iwan (2020) ",specimen,,,,,,Coleoptera,"Cameron, 1904"
