"id","family","subfamily","tribe","genus","subgenus","species","subspecies","usage_key","det","typus","num_m","num_f","num_nosex","nation","region","location","altitude","lat","long","given_lat","given_long","date","collector","biog_reg","source","record_type","notes","collection_id","stage","preservation","localisation","tax_order","author_year"
88,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Moriani Plage ","",NA,NA,42.37,"9.53","20-22_6_1994","","palaearctic","MZUR, Giffi (1991)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
89,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Palasca ","",NA,NA,42.66055507,"9.061550102","18_06_2021","","palaearctic","inaturalist","photo","","","","","","Coleoptera","(Fabricius, 1787)"
90,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,2,"France","Corsica","Haute Corse Palasca Foce F. Ostriconi","",NA,NA,42.66,"9.06","1-15_8_1982","E. Colonnelli","palaearctic","MAB, Giffi (1991)","specimen","2 exx","","","","","Coleoptera","(Fabricius, 1787)"
91,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Palasca plage de l'Ostriconi","",NA,NA,42.66084,"9.06072","14_06_2020","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
92,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse San Giuliano loc. Pistonaccio","0",NA,NA,42.28,"9.55","01_06_2018","A. Marata","palaearctic","RP","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
93,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse San-Giuliano ","",NA,NA,42.25984,"9.55573","12_06_2008","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
94,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Santa Lucia de Moriani ","",NA,NA,42.37,"9.53","20-22_6_1994","V. Novák","palaearctic","NMPC","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
95,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Santo-Pietro-di-Tenda dune, plage de Saleccia","",NA,NA,42.72432,"9.19967","20_06_2020","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
96,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Ventiseri ","",NA,NA,41.92695,"9.39278","18_05_2021","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
97,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Ventiseri ","",NA,NA,41.93402,"9.4151","21_05_2021","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
98,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse, Palasca, plage de l'Ostriconi","",NA,NA,42.661667,"9.060833","19_06_2022","A. Riccieri, V. Filippini, E. Erbani","palaearctic","MAB","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
